week,country,streams
1,US,565867144
2,US,590740418
3,US,619020393
4,US,619659923
5,US,615358098
6,US,716584114
7,US,640935925
8,US,622822945
9,US,615062345
10,US,618703991
11,US,576414389
12,US,563431358
13,US,628185651
14,US,625531619
15,US,587668556
16,US,547324285
17,US,550219749
18,US,553511085
19,US,556215354
20,US,594809018
21,US,565269044
22,US,554884764
23,US,543336994
24,US,538497010
25,US,560038228
26,US,564540045
27,US,555189119
28,US,569278289
29,US,539615706
30,US,541287712
31,US,524001236
32,US,511609103
33,US,528764769
34,US,597446028
35,US,561948580
36,US,664539609
37,US,585845785
38,US,553828380
39,US,559568888
40,US,562301733
41,US,540054622
42,US,531194366
43,US,610238936
44,US,542032123
45,US,516717421
46,US,529841383
47,US,541011375
48,US,543290840
49,US,606642693
50,US,658168466
51,US,672197012
52,US,574844991
53,US,567747784
54,US,624461450
55,US,694142362
56,US,614123955
57,US,585855520
58,US,580337820
59,US,599767168
60,US,589157311
61,US,628169377
62,US,689064153
63,US,600129865
64,US,581608040
65,US,529659972
66,US,527477351
67,US,501715463
68,US,512559587
69,US,523669044
70,US,562103719
71,US,525869942
72,US,530462294
73,US,525290485
74,US,510653908
75,US,488858276
76,US,506541660
77,US,486742484
78,US,490281697
79,US,508159115
80,US,634058420
81,US,546694809
82,US,649961369
83,US,549084133
84,US,532915507
85,US,548484195
86,US,526114369
87,US,517944041
88,US,510645981
89,US,498877027
90,US,493231679
91,US,499390376
92,US,528418182
93,US,484658769
94,US,462340403
95,US,472912457
96,US,509054341
97,US,478296412
98,US,485741831
99,US,504955397
100,US,538276946
101,US,552899195
102,US,691078184
103,US,668955637
104,US,534160756
105,US,468886962
106,US,510402651
107,US,511205405
108,US,480615911
109,US,466595820
110,US,465262175
111,US,456549176
112,US,452340337
113,US,455536015
114,US,494633681
115,US,472430774
116,US,510854421
117,US,503578101
118,US,502753416
119,US,531838326
120,US,522349888
121,US,489615529
122,US,490798855
123,US,490500543
124,US,588331420
125,US,634013600
126,US,576000050
127,US,547469951
128,US,540664919
129,US,523346258
130,US,555848799
131,US,526067747
132,US,519811802
133,US,504944946
134,US,511536571
135,US,512443919
136,US,499629457
137,US,487139807
138,US,482900820
139,US,580697845
140,US,714157262
141,US,555378397
142,US,548603943
143,US,512975960
144,US,482587851
145,US,463936004
146,US,478018171
147,US,477315859
148,US,460467002
149,US,469450537
150,US,562230181
151,US,573572149
152,US,511043795
153,US,530653815
154,US,575397016
155,US,607470933
156,US,563182324
157,US,481581084
158,US,479173217
159,US,493722833
160,US,470747701
161,US,470768318
162,US,478602406
163,US,479727029
164,US,485604144
165,US,463410800
166,US,460309304
167,US,456786521
168,US,451916381
169,US,445234080
170,US,473147335
1,DE,386237309
2,DE,144218701
3,DE,157989437
4,DE,158869053
5,DE,155898710
6,DE,164623420
7,DE,166236205
8,DE,164865553
9,DE,154974141
10,DE,157187736
11,DE,181926933
12,DE,196475946
13,DE,187540428
14,DE,190086543
15,DE,184572050
16,DE,193639362
17,DE,177623392
18,DE,172711042
19,DE,177396932
20,DE,186162246
21,DE,193807572
22,DE,193155952
23,DE,188062919
24,DE,191944534
25,DE,203690759
26,DE,206094549
27,DE,206317087
28,DE,191354874
29,DE,204656992
30,DE,181702042
31,DE,177629433
32,DE,175061209
33,DE,175824454
34,DE,165404943
35,DE,178220147
36,DE,184390627
37,DE,185704242
38,DE,189186574
39,DE,205590141
40,DE,211030431
41,DE,202354644
42,DE,197269848
43,DE,197691282
44,DE,211714923
45,DE,197591774
46,DE,192875229
47,DE,185332613
48,DE,180640856
49,DE,201142326
50,DE,214651769
51,DE,205269921
52,DE,259673782
53,DE,179741922
54,DE,167930667
55,DE,187698798
56,DE,197785752
57,DE,198558864
58,DE,194086867
59,DE,189926545
60,DE,202207245
61,DE,181892771
62,DE,186992667
63,DE,185793617
64,DE,183492699
65,DE,168855311
66,DE,178960555
67,DE,182162353
68,DE,171227071
69,DE,181335260
70,DE,187720812
71,DE,179881387
72,DE,188612437
73,DE,192780152
74,DE,187979576
75,DE,208061509
76,DE,199843549
77,DE,186025639
78,DE,203279011
79,DE,192366112
80,DE,195751673
81,DE,192479930
82,DE,192863346
83,DE,203052960
84,DE,211531517
85,DE,200433784
86,DE,189428510
87,DE,188070047
88,DE,184543034
89,DE,189698693
90,DE,200724854
91,DE,195129642
92,DE,186669093
93,DE,180615214
94,DE,169673296
95,DE,163689310
96,DE,166364248
97,DE,168254289
98,DE,159451833
99,DE,153964435
100,DE,156240814
101,DE,175610262
102,DE,179695636
103,DE,182692492
104,DE,245763739
105,DE,163852388
106,DE,138322729
107,DE,141189366
108,DE,150942188
109,DE,150516581
110,DE,146761234
111,DE,141088409
112,DE,142542529
113,DE,160322965
114,DE,155709787
115,DE,159311090
116,DE,154505132
117,DE,157575047
118,DE,168386791
119,DE,152765104
120,DE,158268153
121,DE,156743587
122,DE,155152959
123,DE,160999851
124,DE,163452010
125,DE,161449738
126,DE,158850130
127,DE,171656966
128,DE,164264423
129,DE,162030582
130,DE,158823637
131,DE,164171801
132,DE,171874759
133,DE,163017097
134,DE,165087467
135,DE,164548356
136,DE,157610673
137,DE,158815652
138,DE,159438494
139,DE,159183820
140,DE,159484642
141,DE,167426906
142,DE,167521179
