dates,week
1/10/2019,1
1/17/2019,2
1/24/2019,3
1/31/2019,4
2/7/2019,5
2/14/2019,6
2/21/2019,7
2/28/2019,8
3/7/2019,9
3/14/2019,10
3/21/2019,11
3/28/2019,12
4/4/2019,13
4/11/2019,14
4/18/2019,15
4/25/2019,16
5/2/2019,17
5/9/2019,18
5/16/2019,19
5/23/2019,20
5/30/2019,21
6/6/2019,22
6/13/2019,23
6/20/2019,24
6/27/2019,25
7/4/2019,26
7/11/2019,27
7/18/2019,28
7/25/2019,29
8/1/2019,30
8/8/2019,31
8/15/2019,32
8/22/2019,33
8/29/2019,34
9/5/2019,35
9/12/2019,36
9/19/2019,37
9/26/2019,38
10/3/2019,39
10/10/2019,40
10/17/2019,41
10/24/2019,42
10/31/2019,43
11/7/2019,44
11/14/2019,45
11/21/2019,46
11/28/2019,47
12/5/2019,48
12/12/2019,49
12/19/2019,50
12/26/2019,51
1/2/2020,52
1/9/2020,53
1/16/2020,54
1/23/2020,55
1/30/2020,56
2/6/2020,57
2/13/2020,58
2/20/2020,59
2/27/2020,60
3/5/2020,61
3/12/2020,62
3/19/2020,63
3/26/2020,64
4/2/2020,65
4/9/2020,66
4/16/2020,67
4/23/2020,68
4/30/2020,69
5/7/2020,70
5/14/2020,71
5/21/2020,72
5/28/2020,73
6/4/2020,74
6/11/2020,75
6/18/2020,76
6/25/2020,77
7/2/2020,78
7/9/2020,79
7/16/2020,80
7/23/2020,81
7/30/2020,82
8/6/2020,83
8/13/2020,84
8/20/2020,85
8/27/2020,86
9/3/2020,87
9/10/2020,88
9/17/2020,89
9/24/2020,90
10/1/2020,91
10/8/2020,92
10/15/2020,93
10/22/2020,94
10/29/2020,95
11/5/2020,96
11/12/2020,97
11/19/2020,98
11/26/2020,99
12/3/2020,100
12/10/2020,101
12/17/2020,102
12/24/2020,103
12/31/2020,104
1/7/2021,105
1/14/2021,106
1/21/2021,107
1/28/2021,108
2/4/2021,109
2/11/2021,110
2/18/2021,111
2/25/2021,112
3/4/2021,113
3/11/2021,114
3/18/2021,115
3/25/2021,116
4/1/2021,117
4/8/2021,118
4/15/2021,119
4/22/2021,120
4/29/2021,121
5/6/2021,122
5/13/2021,123
5/20/2021,124
5/27/2021,125
6/3/2021,126
6/10/2021,127
6/17/2021,128
6/24/2021,129
7/1/2021,130
7/8/2021,131
7/15/2021,132
7/22/2021,133
7/29/2021,134
8/5/2021,135
8/12/2021,136
8/19/2021,137
8/26/2021,138
9/2/2021,139
9/9/2021,140
9/16/2021,141
9/23/2021,142
9/30/2021,143
10/7/2021,144
10/14/2021,145
10/21/2021,146
10/28/2021,147
11/4/2021,148
11/11/2021,149
11/18/2021,150
11/25/2021,151
12/2/2021,152
12/9/2021,153
12/16/2021,154
12/23/2021,155
12/30/2021,156
1/6/2022,157
1/13/2022,158
1/20/2022,159
1/27/2022,160
2/3/2022,161
2/10/2022,162
2/17/2022,163
2/24/2022,164
3/3/2022,165
3/10/2022,166
3/17/2022,167
3/24/2022,168
3/31/2022,169
4/7/2022,170
