dates,week
1/3/2020,52
1/4/2020,53
1/5/2020,54
1/6/2020,55
1/7/2020,56
1/8/2020,57
1/9/2020,58
1/10/2020,59
1/11/2020,60
1/12/2020,61
1/13/2020,62
1/14/2020,63
1/15/2020,64
1/16/2020,65
1/17/2020,66
1/18/2020,67
1/19/2020,68
1/20/2020,69
1/21/2020,70
1/22/2020,71
1/23/2020,72
1/24/2020,73
1/25/2020,74
1/26/2020,75
1/27/2020,76
1/28/2020,77
1/29/2020,78
1/30/2020,79
1/31/2020,80
2/1/2020,81
2/2/2020,82
2/3/2020,83
2/4/2020,84
2/5/2020,85
2/6/2020,86
2/7/2020,87
2/8/2020,88
2/9/2020,89
2/10/2020,90
2/11/2020,91
2/12/2020,92
2/13/2020,93
2/14/2020,94
2/15/2020,95
2/16/2020,96
2/17/2020,97
2/18/2020,98
2/19/2020,99
2/20/2020,100
2/21/2020,101
2/22/2020,102
2/23/2020,103
2/24/2020,104
2/25/2020,105
2/26/2020,106
2/27/2020,107
2/28/2020,108
2/29/2020,109
3/1/2020,110
3/2/2020,111
3/3/2020,112
3/4/2020,113
3/5/2020,114
3/6/2020,115
3/7/2020,116
3/8/2020,117
3/9/2020,118
3/10/2020,119
3/11/2020,120
3/12/2020,121
3/13/2020,122
3/14/2020,123
3/15/2020,124
3/16/2020,125
3/17/2020,126
3/18/2020,127
3/19/2020,128
3/20/2020,129
3/21/2020,130
3/22/2020,131
3/23/2020,132
3/24/2020,133
3/25/2020,134
3/26/2020,135
3/27/2020,136
3/28/2020,137
3/29/2020,138
3/30/2020,139
3/31/2020,140
4/1/2020,141
4/2/2020,142
4/3/2020,143
4/4/2020,144
4/5/2020,145
4/6/2020,146
4/7/2020,147
4/8/2020,148
4/9/2020,149
4/10/2020,150
4/11/2020,151
4/12/2020,152
4/13/2020,153
4/14/2020,154
4/15/2020,155
4/16/2020,156
4/17/2020,157
4/18/2020,158
4/19/2020,159
4/20/2020,160
4/21/2020,161
4/22/2020,162
4/23/2020,163
4/24/2020,164
4/25/2020,165
4/26/2020,166
4/27/2020,167
4/28/2020,168
4/29/2020,169
4/30/2020,170
5/1/2020,171
5/2/2020,172
5/3/2020,173
5/4/2020,174
5/5/2020,175
5/6/2020,176
5/7/2020,177
5/8/2020,178
5/9/2020,179
5/10/2020,180
5/11/2020,181
5/12/2020,182
5/13/2020,183
5/14/2020,184
5/15/2020,185
5/16/2020,186
5/17/2020,187
5/18/2020,188
5/19/2020,189
5/20/2020,190
5/21/2020,191
5/22/2020,192
5/23/2020,193
5/24/2020,194
5/25/2020,195
5/26/2020,196
5/27/2020,197
5/28/2020,198
5/29/2020,199
5/30/2020,200
5/31/2020,201
6/1/2020,202
6/2/2020,203
6/3/2020,204
6/4/2020,205
6/5/2020,206
6/6/2020,207
6/7/2020,208
6/8/2020,209
6/9/2020,210
6/10/2020,211
6/11/2020,212
6/12/2020,213
6/13/2020,214
6/14/2020,215
6/15/2020,216
6/16/2020,217
6/17/2020,218
6/18/2020,219
6/19/2020,220
6/20/2020,221
6/21/2020,222
6/22/2020,223
6/23/2020,224
6/24/2020,225
6/25/2020,226
6/26/2020,227
6/27/2020,228
6/28/2020,229
6/29/2020,230
6/30/2020,231
7/1/2020,232
