week,country,new_cases,new_deaths
1,AR,0,0
2,AR,0,0
3,AR,0,0
4,AR,0,0
5,AR,0,0
6,AR,0,0
7,AR,0,0
8,AR,0,0
9,AR,0,0
10,AR,0,0
11,AR,0,0
12,AR,0,0
13,AR,0,0
14,AR,0,0
15,AR,0,0
16,AR,0,0
17,AR,0,0
18,AR,0,0
19,AR,0,0
20,AR,0,0
21,AR,0,0
22,AR,0,0
23,AR,0,0
24,AR,0,0
25,AR,0,0
26,AR,0,0
27,AR,0,0
28,AR,0,0
29,AR,0,0
30,AR,0,0
31,AR,0,0
32,AR,0,0
33,AR,0,0
34,AR,0,0
35,AR,0,0
36,AR,0,0
37,AR,0,0
38,AR,0,0
39,AR,0,0
40,AR,0,0
41,AR,0,0
42,AR,0,0
43,AR,0,0
44,AR,0,0
45,AR,0,0
46,AR,0,0
47,AR,0,0
48,AR,0,0
49,AR,0,0
50,AR,0,0
51,AR,0,0
52,AR,0,0
53,AR,0,0
54,AR,0,0
55,AR,0,0
56,AR,0,0
57,AR,0,0
58,AR,0,0
59,AR,0,0
60,AR,4,0
61,AR,41,3
62,AR,218,11
63,AR,605,27
64,AR,762,60
65,AR,826,67
66,AR,1023,68
67,AR,1199,104
68,AR,1405,131
69,AR,1393,112
70,AR,2298,123
71,AR,3785,183
72,AR,5403,221
73,AR,6539,342
74,AR,8713,415
75,AR,11686,465
76,AR,17217,751
77,AR,19265,810
78,AR,23385,1063
79,AR,26848,1237
80,AR,36129,1482
81,AR,40299,1461
82,AR,47457,1694
83,AR,49955,1623
84,AR,47897,1748
85,AR,60668,2118
86,AR,71207,2333
87,AR,75547,2352
88,AR,77220,2354
89,AR,76301,2409
90,AR,87370,2541
91,AR,88272,2489
92,AR,95055,2570
93,AR,102123,2493
94,AR,90626,2115
95,AR,72420,1645
96,AR,72058,1674
97,AR,62849,1316
98,AR,50165,984
99,AR,48198,910
100,AR,33665,780
101,AR,43746,910
102,AR,49783,947
103,AR,55725,1017
104,AR,65517,1194
105,AR,82123,1362
106,AR,76387,1234
107,AR,74571,1247
108,AR,54937,999
109,AR,46696,931
110,AR,45707,832
111,AR,47950,876
112,AR,44259,904
113,AR,44427,870
114,AR,52567,999
115,AR,53751,1020
116,AR,92128,1542
117,AR,116725,2098
118,AR,160009,2982
119,AR,170340,3427
120,AR,156792,3356
121,AR,142648,3126
122,AR,145434,3310
123,AR,203740,4227
124,AR,210810,4172
125,AR,220368,4469
126,AR,180740,3596
127,AR,152125,3079
128,AR,123937,2483
129,AR,136067,2326
130,AR,119713,2143
131,AR,105752,1829
132,AR,91846,1472
133,AR,91063,1306
134,AR,81998,1183
135,AR,73134,1019
136,AR,50952,757
137,AR,45512,633
138,AR,33933,446
139,AR,22702,365
140,AR,16326,239
141,AR,12386,172
142,AR,10035,102
143,AR,8051,83
144,AR,6087,78
145,AR,7972,82
146,AR,9137,66
147,AR,8586,55
148,AR,9104,77
149,AR,9892,91
150,AR,10276,105
151,AR,13805,95
152,AR,16890,143
153,AR,28033,152
154,AR,58198,193
155,AR,178132,320
156,AR,403353,651
157,AR,757878,1319
158,AR,750191,2193
159,AR,625620,2237
160,AR,302899,1393
161,AR,173137,805
162,AR,93138,408
163,AR,75329,283
164,AR,40062,90
165,AR,39277,59
166,AR,27258,25
167,AR,43898,264
168,AR,15467,245
1,AU,0,0
2,AU,0,0
3,AU,0,0
4,AU,0,0
5,AU,0,0
6,AU,0,0
7,AU,0,0
8,AU,0,0
9,AU,0,0
10,AU,0,0
11,AU,0,0
12,AU,0,0
13,AU,0,0
14,AU,0,0
15,AU,0,0
16,AU,0,0
17,AU,0,0
18,AU,0,0
19,AU,0,0
20,AU,0,0
21,AU,0,0
22,AU,0,0
23,AU,0,0
24,AU,0,0
25,AU,0,0
26,AU,0,0
27,AU,0,0
28,AU,0,0
29,AU,0,0
30,AU,0,0
31,AU,0,0
32,AU,0,0
33,AU,0,0
34,AU,0,0
35,AU,0,0
36,AU,0,0
37,AU,0,0
