week,rel_interest,country,youtube,in_data
4/23/2017,91,AR,1,0
4/30/2017,92,AR,1,0
5/7/2017,90,AR,1,0
5/14/2017,88,AR,1,0
5/21/2017,91,AR,1,0
5/28/2017,86,AR,1,0
6/4/2017,86,AR,1,0
6/11/2017,85,AR,1,0
6/18/2017,85,AR,1,0
6/25/2017,84,AR,1,0
7/2/2017,85,AR,1,0
7/9/2017,89,AR,1,0
7/16/2017,94,AR,1,0
7/23/2017,95,AR,1,0
7/30/2017,96,AR,1,0
8/6/2017,94,AR,1,0
8/13/2017,93,AR,1,0
8/20/2017,97,AR,1,0
8/27/2017,93,AR,1,0
9/3/2017,94,AR,1,0
9/10/2017,100,AR,1,0
9/17/2017,97,AR,1,0
9/24/2017,93,AR,1,0
10/1/2017,89,AR,1,0
10/8/2017,91,AR,1,0
10/15/2017,88,AR,1,0
10/22/2017,88,AR,1,0
10/29/2017,86,AR,1,0
11/5/2017,92,AR,1,0
11/12/2017,87,AR,1,0
11/19/2017,91,AR,1,0
11/26/2017,88,AR,1,0
12/3/2017,89,AR,1,0
12/10/2017,87,AR,1,0
12/17/2017,90,AR,1,0
12/24/2017,95,AR,1,0
12/31/2017,90,AR,1,0
1/7/2018,84,AR,1,0
1/14/2018,82,AR,1,0
1/21/2018,81,AR,1,0
1/28/2018,81,AR,1,0
2/4/2018,79,AR,1,0
2/11/2018,82,AR,1,0
2/18/2018,81,AR,1,0
2/25/2018,79,AR,1,0
3/4/2018,77,AR,1,0
3/11/2018,73,AR,1,0
3/18/2018,76,AR,1,0
3/25/2018,83,AR,1,0
4/1/2018,77,AR,1,0
4/8/2018,74,AR,1,0
4/15/2018,74,AR,1,0
4/22/2018,73,AR,1,0
4/29/2018,74,AR,1,0
5/6/2018,73,AR,1,0
5/13/2018,69,AR,1,0
5/20/2018,75,AR,1,0
5/27/2018,71,AR,1,0
6/3/2018,68,AR,1,0
6/10/2018,66,AR,1,0
6/17/2018,66,AR,1,0
6/24/2018,65,AR,1,0
7/1/2018,63,AR,1,0
7/8/2018,64,AR,1,0
7/15/2018,62,AR,1,0
7/22/2018,64,AR,1,0
7/29/2018,63,AR,1,0
8/5/2018,58,AR,1,0
8/12/2018,59,AR,1,0
8/19/2018,59,AR,1,0
8/26/2018,60,AR,1,0
9/2/2018,60,AR,1,0
9/9/2018,60,AR,1,0
9/16/2018,57,AR,1,0
9/23/2018,56,AR,1,0
9/30/2018,55,AR,1,0
10/7/2018,53,AR,1,0
10/14/2018,61,AR,1,0
10/21/2018,55,AR,1,0
10/28/2018,51,AR,1,0
11/4/2018,52,AR,1,0
11/11/2018,54,AR,1,0
11/18/2018,58,AR,1,0
11/25/2018,54,AR,1,0
12/2/2018,54,AR,1,0
12/9/2018,54,AR,1,0
12/16/2018,52,AR,1,0
12/23/2018,55,AR,1,0
12/30/2018,51,AR,1,0
1/6/2019,50,AR,1,1
1/13/2019,52,AR,1,1
