week_num,country,rel_interest_youtube,rel_interest_tiktok,week,streams,new_cases,new_deaths
1,AR,50,4,1/6/2019,13953303,0,0
1,AU,66,5,1/6/2019,89285066,0,0
1,BR,58,2,1/6/2019,114540449,0,0
1,CL,50,5,1/6/2019,108173284,0,0
1,DE,66,7,1/6/2019,386237309,0,0
1,DK,78,11,1/6/2019,127505506,0,0
1,ES,68,6,1/6/2019,322485245,0,0
1,FR,60,6,1/6/2019,88516107,0,0
1,ID,58,1,1/6/2019,251037229,0,0
1,IE,70,5,1/6/2019,21344961,0,0
1,IT,65,3,1/6/2019,13412503,0,0
1,JP,75,46,1/6/2019,103163541,0,0
1,MX,55,4,1/6/2019,73161381,0,0
1,SE,78,9,1/6/2019,77192714,0,0
1,TH,51,5,1/6/2019,117778214,0,0
1,TR,62,15,1/6/2019,23408378,0,0
1,UK,73,7,1/6/2019,139008468,0,0
1,US,81,6,1/6/2019,565867144,0,0
10,AR,45,4,3/10/2019,71324689,0,0
10,AU,72,5,3/10/2019,84283982,0,0
10,BR,51,1,3/10/2019,127270853,0,0
10,CL,48,4,3/10/2019,74328310,0,0
10,DE,68,8,3/10/2019,157187736,0,0
10,DK,79,16,3/10/2019,24394407,0,0
10,ES,66,7,3/10/2019,322930279,0,0
10,FR,60,8,3/10/2019,97144086,0,0
10,ID,58,1,3/10/2019,105170087,0,0
10,IE,64,7,3/10/2019,18447668,0,0
10,IT,69,4,3/10/2019,12125003,0,0
10,JP,46,24,3/10/2019,17146288,0,0
10,MX,53,4,3/10/2019,151244008,0,0
10,SE,80,15,3/10/2019,78264625,0,0
10,TH,48,2,3/10/2019,122615333,0,0
10,TR,63,12,3/10/2019,24156842,0,0
10,UK,74,8,3/10/2019,144706228,0,0
10,US,77,7,3/10/2019,618703991,0,0
100,AR,38,64,11/29/2020,93897145,33665,780
100,AU,56,27,11/29/2020,81104946,70,0
100,BR,40,34,11/29/2020,255313031,288212,4342
100,CL,37,49,11/29/2020,82001080,10880,252
100,DE,64,55,11/29/2020,156240814,135414,2770
100,DK,61,47,11/29/2020,24052950,16675,57
100,ES,57,67,11/29/2020,127632745,43052,1430
100,FR,50,46,11/29/2020,116271460,77677,2825
100,ID,42,19,11/29/2020,85845743,41056,981
100,IE,55,51,11/29/2020,15135659,1860,41
100,IT,59,37,11/29/2020,117635104,128539,4694
100,JP,73,54,11/29/2020,79138700,15746,252
100,MX,36,60,11/29/2020,221276103,68893,4383
100,SE,67,39,11/29/2020,49564403,38766,454
100,TH,49,21,11/29/2020,24466657,130,0
100,TR,60,68,11/29/2020,67379965,224462,1402
100,UK,61,47,11/29/2020,127888230,117652,3015
100,US,70,49,11/29/2020,538276946,1444918,16572
101,AR,37,70,12/6/2020,98914694,43746,910
101,AU,57,31,12/6/2020,79688860,66,0
101,BR,41,37,12/6/2020,267630037,295035,4640
101,CL,34,48,12/6/2020,84147991,11953,269
101,DE,62,52,12/6/2020,175610262,163958,3753
101,DK,62,48,12/6/2020,25331543,25490,71
101,ES,58,70,12/6/2020,129416464,63520,1323
101,FR,49,48,12/6/2020,117775616,93327,2709
101,ID,44,21,12/6/2020,91052769,44575,1054
101,IE,57,48,12/6/2020,15039104,2309,27
101,IT,59,39,12/6/2020,126010791,117995,4798
101,JP,74,55,12/6/2020,79258091,18530,274
101,MX,35,61,12/6/2020,224212416,76508,4977
101,SE,71,39,12/6/2020,49691607,42938,571
101,TH,52,23,12/6/2020,25554229,112,0
101,TR,60,70,12/6/2020,70512354,210022,1590
101,UK,59,44,12/6/2020,134584149,180669,3131
101,US,71,48,12/6/2020,552899195,1470929,18395
102,AR,38,69,12/13/2020,98148003,49783,947
102,AU,61,32,12/13/2020,79754250,179,0
102,BR,43,34,12/13/2020,254193378,348787,5460
102,CL,37,51,12/13/2020,84532600,14183,269
102,DE,69,62,12/13/2020,179695636,180954,4645
102,DK,65,47,12/13/2020,27501865,20989,119
102,ES,61,66,12/13/2020,127667360,70774,1127
102,FR,54,50,12/13/2020,102763795,83997,2613
102,ID,49,22,12/13/2020,88247220,49330,1199
102,IE,59,49,12/13/2020,15078797,4974,43
102,IT,60,36,12/13/2020,113533562,103134,3858
102,JP,88,57,12/13/2020,78819817,19036,311
102,MX,36,66,12/13/2020,226612656,77460,5508
102,SE,71,41,12/13/2020,49062861,47397,632
102,TH,54,21,12/13/2020,24868948,1548,0
102,TR,62,71,12/13/2020,73298657,154445,1740
102,UK,66,47,12/13/2020,158170310,259609,3619
102,US,73,47,12/13/2020,691078184,1493714,19492
103,AR,41,72,12/20/2020,100678961,55725,1017
103,AU,56,33,12/20/2020,80228883,143,1
103,BR,43,37,12/20/2020,258302586,244730,4422
103,CL,37,53,12/20/2020,93229365,15036,271
103,DE,76,65,12/20/2020,182692492,132622,4301
103,DK,63,59,12/20/2020,37159984,16231,174
103,ES,59,75,12/20/2020,123558334,75868,1200
103,FR,57,59,12/20/2020,99152427,88424,2402
103,ID,45,25,12/20/2020,88564262,50360,1549
103,IE,61,60,12/20/2020,16867263,7996,58
103,IT,63,42,12/20/2020,131622132,92411,3209
103,JP,74,57,12/20/2020,79319264,24165,364
103,MX,36,65,12/20/2020,224513036,68691,6234
103,SE,68,44,12/20/2020,49092216,41342,668
103,TH,54,25,12/20/2020,24291109,1055,1
103,TR,59,71,12/20/2020,70240173,111662,1781
103,UK,65,54,12/20/2020,173188609,308872,4419
103,US,74,47,12/20/2020,668955637,1276820,17531
104,AR,38,69,12/27/2020,101447638,65517,1194
104,AU,55,35,12/27/2020,84094323,155,0
104,BR,41,41,12/27/2020,255325057,246849,5051
104,CL,35,52,12/27/2020,98425517,19533,317
104,DE,66,72,12/27/2020,245763739,115301,4536
104,DK,57,61,12/27/2020,34805101,12211,191
104,ES,55,80,12/27/2020,122314112,117846,1370
104,FR,54,64,12/27/2020,104452219,122684,2180
104,ID,48,27,12/27/2020,90258773,54525,1382
104,IE,53,58,12/27/2020,19353399,30894,90
104,IT,60,47,12/27/2020,115127046,118256,3273
104,JP,78,60,12/27/2020,82589272,28089,377
104,MX,33,69,12/27/2020,220136791,79693,7015
104,SE,65,53,12/27/2020,50657662,39888,648
104,TH,51,26,12/27/2020,24481795,2752,6
104,TR,57,74,12/27/2020,70446273,89659,1428
104,UK,60,59,12/27/2020,181637260,421188,5506
104,US,68,51,12/27/2020,534160756,1543368,20472
105,AR,35,68,1/3/2021,108636547,82123,1362
105,AU,52,32,1/3/2021,82363193,114,0
105,BR,40,40,1/3/2021,257697688,385237,6958
105,CL,32,53,1/3/2021,93232938,27042,388
105,DE,63,69,1/3/2021,163852388,143552,6274
105,DK,67,57,1/3/2021,32633273,8933,214
105,ES,52,71,1/3/2021,123727999,177536,1724
105,FR,47,50,1/3/2021,105101882,118928,2464
105,ID,44,28,1/3/2021,89323199,71877,1726
105,IE,55,64,1/3/2021,20629786,37919,226
105,IT,54,44,1/3/2021,110289660,117091,3449
105,JP,73,55,1/3/2021,84637995,44230,442
105,MX,33,74,1/3/2021,222942122,111798,8301
105,SE,65,64,1/3/2021,52003046,34901,643
105,TH,55,28,1/3/2021,25655749,1626,2
105,TR,55,71,1/3/2021,70342467,71908,1255
105,UK,64,60,1/3/2021,216654747,346527,7384
105,US,70,49,1/3/2021,468886962,1721860,23650
106,AR,37,69,1/10/2021,107594975,76387,1234
106,AU,56,36,1/10/2021,82624512,90,0
106,BR,40,42,1/10/2021,249246020,378227,6801
106,CL,34,55,1/10/2021,94403502,28215,390
106,DE,68,72,1/10/2021,138322729,109810,5902
106,DK,69,59,1/10/2021,45987316,5879,213
106,ES,56,73,1/10/2021,126120692,242482,2636
106,FR,50,58,1/10/2021,108332322,130675,2613
106,ID,45,25,1/10/2021,88761401,82051,1957
106,IE,62,67,1/10/2021,24334830,20166,390
106,IT,54,43,1/10/2021,105264181,95130,3355
106,JP,77,60,1/10/2021,85886951,42598,510
106,MX,34,70,1/10/2021,235406168,107564,9362
106,SE,67,52,1/10/2021,51323835,25796,584
106,TH,54,28,1/10/2021,28420933,1533,2
106,TR,56,72,1/10/2021,72419663,50377,1162
106,UK,69,69,1/10/2021,160738135,278754,8921
106,US,72,52,1/10/2021,510402651,1388103,22276
107,AR,37,76,1/17/2021,111111929,74571,1247
107,AU,56,35,1/17/2021,82386593,46,0
107,BR,40,47,1/17/2021,258918657,359492,7387
107,CL,33,61,1/17/2021,117616252,29148,446
107,DE,69,80,1/17/2021,141189366,90428,5130
107,DK,71,64,1/17/2021,24189926,4613,171
107,ES,57,79,1/17/2021,121648805,236804,3566
107,FR,49,63,1/17/2021,102586588,132080,2801
107,ID,46,27,1/17/2021,87729968,86342,2128
107,IE,60,73,1/17/2021,23936609,11841,440
